project	file	line	pattern	type	member	chars_saved	before	after
scala3-compiler	dotty/tools/dotc/config/Settings.scala	30	P2	Set	empty	4	class SettingsState(initialValues: Seq[Any], initialChanged: Set[Int] = Set.empty):	class SettingsState(initialValues: Seq[Any], initialChanged: Set[Int] = .empty):
scala3-compiler	dotty/tools/dotc/profile/Profiler.scala	100	P1	TracedEventId	Empty	14	protected def beforeUnit(phase: Phase, unit: CompilationUnit): TracedEventId = TracedEventId.Empty	protected def beforeUnit(phase: Phase, unit: CompilationUnit): TracedEventId = .Empty
scala3-compiler	dotty/tools/dotc/profile/Profiler.scala	107	P1	TracedEventId	Empty	14	protected def beforeTypedDef(sym: Symbol): TracedEventId = TracedEventId.Empty	protected def beforeTypedDef(sym: Symbol): TracedEventId = .Empty
scala3-compiler	dotty/tools/dotc/profile/Profiler.scala	114	P1	TracedEventId	Empty	14	protected def beforeImplicitSearch(pt: Type): TracedEventId  = TracedEventId.Empty	protected def beforeImplicitSearch(pt: Type): TracedEventId  = .Empty
scala3-compiler	dotty/tools/dotc/profile/Profiler.scala	121	P1	TracedEventId	Empty	14	protected def beforeInlineCall(inlineSym: Symbol): TracedEventId = TracedEventId.Empty	protected def beforeInlineCall(inlineSym: Symbol): TracedEventId = .Empty
scala3-compiler	dotty/tools/dotc/profile/Profiler.scala	143	P1	ExtendedThreadMxBean	proxy	21	val threadMx: ExtendedThreadMxBean = ExtendedThreadMxBean.proxy	val threadMx: ExtendedThreadMxBean = .proxy
scala3-compiler	dotty/tools/dotc/quoted/PickledQuotes.scala	109	P5	ExprHole	V1	9	case ExprHole.V1(evalHole) =>	case .V1(evalHole) =>
scala3-compiler	dotty/tools/dotc/quoted/PickledQuotes.scala	111	P5	ExprHole	V2	9	case ExprHole.V2(evalHole) =>	case .V2(evalHole) =>
scala3-compiler	dotty/tools/dotc/quoted/PickledQuotes.scala	153	P5	ExprHole	V2	9	case ExprHole.V2(null) => tree	case .V2(null) => tree
scala3-compiler	dotty/tools/dotc/quoted/PickledQuotes.scala	168	P5	TypeHole	V1	9	case TypeHole.V1(evalHole) =>	case .V1(evalHole) =>
scala3-compiler	dotty/tools/dotc/quoted/PickledQuotes.scala	177	P5	TypeHole	V2	9	case TypeHole.V2(types) =>	case .V2(types) =>
scala3-compiler	dotty/tools/dotc/classpath/ClassPath.scala	95	P1	Seq	empty	4	private[dotty] def sources(inPackage: PackageName): Seq[SourceFileEntry] = Seq.empty	private[dotty] def sources(inPackage: PackageName): Seq[SourceFileEntry] = .empty
scala3-compiler	dotty/tools/dotc/classpath/ClassPath.scala	100	P1	Seq	empty	4	private[dotty] def classes(inPackage: PackageName): Seq[BinaryFileEntry] = Seq.empty	private[dotty] def classes(inPackage: PackageName): Seq[BinaryFileEntry] = .empty
scala3-compiler	dotty/tools/dotc/classpath/VirtualDirectoryClassPath.scala	25	P1	Array	empty	6	protected def emptyFiles: Array[AbstractFile] = Array.empty	protected def emptyFiles: Array[AbstractFile] = .empty
scala3-compiler	dotty/tools/dotc/classpath/DirectoryClassPath.scala	84	P1	Array	empty	6	protected def emptyFiles: Array[JFile] = Array.empty	protected def emptyFiles: Array[JFile] = .empty
scala3-compiler	dotty/tools/dotc/interactive/LogicalSourcePath.scala	24	P1	Seq	empty	4	override def classes(inPackage: PackageName): Seq[BinaryFileEntry] = Seq.empty	override def classes(inPackage: PackageName): Seq[BinaryFileEntry] = .empty
scala3-compiler	dotty/tools/dotc/transform/MegaPhase.scala	42	P1	Set	empty	4	def runsAfterGroupsOf: Set[String] = Set.empty	def runsAfterGroupsOf: Set[String] = .empty
